feature,importance
our_buybox,0.17321315
monthly_sold,0.08755766
rank_log,0.0676252
month,0.057499457
sales_rank,0.055223797
rank_std7,0.053106055
rank_delta7,0.04754369
dom,0.04699255
rank_ma28,0.042494632
price_vs_list,0.042204384
used_offers,0.03301302
price_ma7,0.028712722
bb_price,0.027619006
new_price,0.026886888
new_offers,0.026649084
cat_rank,0.022998374
cat_rank_log,0.022805119
rank_ma7,0.022237493
bb_changes,0.021400306
list_price,0.019787654
price_vs_bb,0.018806437
price_change,0.016579213
dow,0.015016558
review_count,0.012954415
rating,0.00647537
is_weekend,0.0031045163
bb_fba,0.0014932756
