asin,title,brand,parent_asin,category_tree,product_group,size,color,model,variation_count,sales_rank_current,sales_rank_avg30,sales_rank_avg90,sales_rank_avg180,sales_rank_drops30,sales_rank_drops90,sales_rank_drops180,sales_rank_drops365,new_price_current,new_price_avg30,bb_price,competitive_price_threshold,bb_is_amazon,bb_is_fba,our_bb_pct,n_unique_bb_sellers,total_offer_count,monthly_sold_badge,monthly_sold_delta90,monthly_sold_last3,review_count,rating,oos_amazon_30,oos_amazon_90,sr_history_points,sr_min,sr_max,sr_median,listed_since_keepa_min,data_pulled_at
B0036DUP6C,"Nike Women's Victory Compression Sports Bra, Dri-FIT Sports Bra for Women with Racerback Design, Carbon Heather/Black, Large",Nike,B078KFFTJZ,"Clothing, Shoes & Jewelry > Women > Clothing > Lingerie, Sleep & Lounge > Lingerie > Bras > Sports Bras",Sports,Large,Carbon Heather/Black,375833,118,9841,14580,20837,20837,18,46,106,281,45.0,43.7,,29.95,False,False,2.1,67,1,,99,50|100|50,5886,4.4,1,1,8730,379,100181,14907,168518,2026-03-08
B0036DYUV8,"Nike Women's Victory Compression Sports Bra, Dri-FIT Sports Bra for Women with Racerback Design, Carbon Heather/Black, Small",Nike,B078KFFTJZ,"Clothing, Shoes & Jewelry > Women > Clothing > Lingerie, Sleep & Lounge > Lingerie > Bras > Sports Bras",Sports,Small,Carbon Heather/Black,375833,118,9841,14969,20927,20927,19,45,105,258,39.69,36.43,39.69,,False,True,7.0,108,4,,99,50|100|50,5886,4.4,1,1,9603,379,118655,14941,168518,2026-03-08
B0036DYUZO,"Nike Women's Victory Compression Sports Bra, White/Black, Small",Nike,B078KFFTJZ,"Clothing, Shoes & Jewelry > Women > Clothing > Lingerie, Sleep & Lounge > Lingerie > Bras > Sports Bras",Sports,Small,White/Black,375833,118,9841,14922,20912,20912,19,45,104,278,36.0,32.69,36.0,,False,True,1.9,85,4,100,-37,100|50|100,5886,4.4,1,1,10076,363,117803,14751,168518,2026-03-08
B003CGV788,"Nike Academy Over-The-Calf Soccer Socks, Black/White, Medium",Nike,B072BVQDY6,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Athletic Socks > Crew Socks",Apparel,Medium,Black/White,SX4120,38,8692,10637,15016,15016,31,62,215,464,16.88,17.45,16.88,16.88,False,True,1.8,270,13,400,-95,200|300|400,9941,4.6,1,1,11001,115,520168,10686,1824058,2026-03-08
B003CH2LYG,"Nike Academy Over-The-Calf Soccer Socks, Black/White, Large",Nike,B072BVQDY6,"Clothing, Shoes & Jewelry > Men",Apparel,Large,Black/White,SX4120,38,8693,10585,15037,15037,20,48,175,477,16.36,16.69,15.89,15.89,False,True,3.6,250,14,300,17,300|200|300,9941,4.6,1,2,12334,111,504464,9141,1225250,2026-03-08
B003CH2QFU,"Nike Academy Over-The-Calf Soccer Socks, White/Black, Large",Nike,B072BVQDY6,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Athletic Socks",Apparel,Large,White/Black,SX4120,38,8691,10631,15022,15022,28,59,181,463,17.93,18.08,18.43,20.98,False,True,2.8,232,8,200,-1,200|100|200,9941,4.6,1,1,12607,111,82754,8780,1225250,2026-03-08
B0059CIMR2,"Nike Girls Performance Game Shorts Youth (X-Small, Black)",Nike,B07RFTLNW5,"Clothing, Shoes & Jewelry > Girls > Clothing > Active > Active Shorts",Apparel,X-Small,Black,836323,22,34261,30083,26799,26799,11,35,71,207,25.0,27.38,25.03,36.99,False,True,3.9,40,14,100,-1,100|50|100,1613,4.3,1,1,7518,3226,1373691,31395,3228720,2026-03-08
B0059CIMV8,"Nike Girls Performance Game Shorts Youth (Small, Black)",Nike,B07RFTLNW5,"Clothing, Shoes & Jewelry > Girls > Clothing > Active > Active Shorts",Apparel,Small,Black,836323,22,34262,30197,26848,26848,11,35,72,230,28.62,28.17,29.0,36.99,False,True,3.6,77,15,,99,200|100|200,1613,4.3,1,1,9078,3433,795254,31301,3228720,2026-03-08
B007HQIAL6,"NIKE Unisex Performance Cushion Quarter Socks with Band (6 Pairs), White/Black, Large",Nike,B0C47JC9TQ,Sports & Outdoors > Exercise & Fitness > Clothing,Apparel,Large,White/Black,SX5178,2,5394,4781,3322,3322,56,142,166,516,25.5,24.74,26.01,,False,True,1.1,236,19,800,49,800|900|800,3043,4.7,1,1,15661,298,283165,6447,2796368,2026-03-08
B007OY499S,"Nike Men's Legend Short Sleeve Tee, Black, M",Nike,B0096E59S4,"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shirts & Tees > T-Shirts",Apparel,Medium,Black,10038440700-0,40,59222,67119,58766,58766,15,58,115,270,25.71,24.1,26.2,23.99,False,True,1.9,185,7,,99,50|100|50,6846,4.5,1,2,18918,67,414331,1327,-2138400,2026-03-08
