asin,units_30d,units_ordered,units_ordered_b2b,ordered_product_sales,total_order_items,browser_sessions,mobile_sessions,sessions,browser_page_views,mobile_page_views,page_views,buy_box_percentage,unit_session_percentage
B0036DUP6C,3,3,0,98.37,3,39,62,101,47,70,117,11.65,2.97
B0036DYUV8,8,8,0,305.28,7,239,624,863,298,703,1001,18.51,0.93
B0036DYUZO,0,,,,,,,,,,,,
B003CGV788,152,152,4,2776.01,118,625,1746,2371,857,2308,3165,26.4,6.41
B003CH2LYG,31,31,0,596.01,29,614,1743,2357,876,2313,3189,13.19,1.32
B003CH2QFU,0,,,,,,,,,,,,
B0059CIMR2,87,87,0,2335.59,83,658,1655,2313,859,2056,2915,41.34,3.76
B0059CIMV8,75,75,0,2155.97,68,783,2038,2821,1043,2637,3680,26.2,2.66
B007HQIAL6,61,61,0,1592.07,59,2680,8090,10770,3704,10901,14605,5.88,0.57
B007OY499S,2,2,0,51.23,2,339,654,993,419,779,1198,4.46,0.2
B007OY4HGI,9,9,0,242.87,9,165,266,431,209,337,546,60.74,2.09
B007OY4I3U,42,42,1,1229.86,41,380,693,1073,490,843,1333,67.17,3.91
B00EE1EAW0,190,190,3,11327.81,182,1076,3202,4278,1340,3803,5143,97.51,4.44
B00EE1EBCY,196,196,3,11598.54,187,1335,4227,5562,1708,5273,6981,94.62,3.52
B00EE1EDC2,105,105,3,6234.75,100,1382,3364,4746,1779,4031,5810,90.8,2.21
B00EE1EDL8,102,102,0,6058.43,98,1086,2648,3734,1388,3271,4659,95.96,2.73
B00EP9E238,242,242,0,13675.43,234,1445,3849,5294,1883,4976,6859,82.52,4.57
B00EP9E3EG,4,4,0,231.48,4,113,326,439,140,385,525,42.86,0.91
B00IVU68LQ,88,88,1,5147.54,88,737,2343,3080,909,2812,3721,99.73,2.86
B00K6OY5WY,22,22,0,435.27,20,443,1348,1791,593,1792,2385,10.09,1.23
B01A67U4SY,0,,,,,,,,,,,,
B01KIRNTB6,208,208,0,6050.69,205,7075,20142,27217,11153,34345,45498,2.67,0.76
B07GP3H1CT,69,69,0,2830.61,66,372,814,1186,472,1012,1484,49.96,5.82
B07GP3HXTT,73,73,6,2929.13,63,1544,4504,6048,2043,5754,7797,15.12,1.21
B07GP4NP86,3,3,0,121.72,3,1567,3370,4937,2147,4348,6495,0.86,0.06
B07GP4P8RS,71,71,2,2697.5,69,601,1246,1847,800,1542,2342,37.01,3.84
B07GP4Q8Z5,37,37,3,1392.14,36,2192,4588,6780,2881,6001,8882,9.61,0.55
B07GP4RMBS,39,39,0,1544.03,37,349,841,1190,448,989,1437,29.6,3.28
B07GP51K96,20,20,0,761.86,19,409,734,1143,564,907,1471,29.04,1.75
B07GP57H1W,64,64,0,2642.64,61,580,1519,2099,739,1827,2566,28.04,3.05
B07GP5QGCJ,49,49,0,2211.43,49,307,677,984,415,812,1227,64.37,4.98
B07GP5VB7G,8,8,0,315.56,8,756,2529,3285,1013,3274,4287,6.86,0.24
B07GP6CKLT,1,1,0,49.99,1,238,547,785,301,626,927,1.87,0.13
B07GP6GZSG,34,34,1,1460.65,33,225,473,698,295,549,844,53.13,4.87
B07GP6PWBS,104,104,4,4011.58,102,567,1235,1802,782,1491,2273,60.61,5.77
B07GRDY3LG,36,36,1,1496.2,35,285,727,1012,352,838,1190,34.38,3.56
B07MGBZYBH,180,180,6,4482.5,173,1809,6609,8418,2349,8751,11100,20.92,2.14
B07NDJV6GZ,68,68,1,1973.53,66,1489,4295,5784,2036,5680,7716,22.66,1.18
B07RX8Q1D4,0,,,,,,,,,,,,
B07RYBFRM1,9,9,1,375.99,9,326,517,843,395,640,1035,60.71,1.07
B07S2GY2VX,6,6,0,225.45,6,242,462,704,310,556,866,26.77,0.85
B07W4SXJWJ,14,14,0,329.14,13,138,197,335,174,236,410,4.67,4.18
B087LR137V,27,27,0,607.99,25,383,1097,1480,480,1340,1820,36.95,1.82
B087LTC1XS,517,517,5,10334.87,458,2802,9441,12243,3951,12422,16373,52.27,4.22
B087LVL4BB,1,1,0,26.06,1,59,75,134,76,89,165,70.27,0.75
B087LW8TKN,8,8,0,190.05,8,136,321,457,189,417,606,25.84,1.75
B087LWNKFB,300,300,5,6689.78,250,788,2132,2920,1038,2603,3641,57.91,10.27
B087LZR1BM,29,29,5,817.82,24,259,639,898,344,768,1112,56.7,3.23
B087M3MJ1L,114,114,4,2624.15,100,743,2103,2846,939,2559,3498,24.22,4.01
B087M3RDVK,8,8,0,163.92,6,810,2468,3278,1008,2982,3990,2.29,0.24
B088XWQ8TH,14,14,0,363.45,13,1076,2808,3884,1493,3778,5271,4.95,0.36
B088Y3W864,2,2,0,54.3,2,220,498,718,297,680,977,3.62,0.28
B089VF7L7J,110,110,2,5369.77,110,1005,3974,4979,1370,4949,6319,52.95,2.21
B089VH8H6Q,39,39,2,1888.96,38,1952,5950,7902,2528,7634,10162,6.97,0.49
B089VNGSG5,117,117,2,5501.33,116,1778,6884,8662,2274,8405,10679,52.69,1.35
B089VPYCKT,111,111,0,5709.28,109,589,1983,2572,782,2412,3194,50.75,4.32
B089VTHMJH,445,445,7,20230.22,434,2015,7125,9140,2610,9075,11685,68.21,4.87
B08B43ZRPD,50,50,1,1082.64,47,188,333,521,246,410,656,77.68,9.6
B08B44H3DY,22,22,0,652.35,21,98,239,337,130,264,394,53.55,6.53
B08B44QBHS,3,3,0,79.4,3,118,203,321,168,228,396,6.42,0.93
B08B44SHQS,57,57,0,1432.12,56,254,714,968,338,826,1164,49.48,5.89
B08B45BKBD,31,31,0,756.78,31,130,357,487,171,426,597,52.77,6.37
B08B45HVTV,17,17,0,426.26,17,150,459,609,193,566,759,34.1,2.79
B08B45Q4SQ,41,41,0,1164.47,39,168,367,535,217,427,644,40.59,7.66
B08B46LPFS,24,24,1,612.48,23,260,649,909,321,740,1061,14.04,2.64
B08CBKC4B7,14,14,1,335.76,14,159,326,485,226,439,665,24.75,2.89
B08CBL66JX,44,44,0,974.96,42,442,1277,1719,608,1649,2257,68.23,2.56
B08CBL8YDB,30,30,0,788.23,29,158,445,603,201,611,812,19.36,4.98
B08CBLQ7JM,6,6,1,160.59,6,189,378,567,253,520,773,5.68,1.06
B08CFX53TS,18,18,0,428.85,18,162,414,576,204,503,707,36.12,3.13
B08CG4MY9X,17,17,0,491.93,17,332,1141,1473,472,1430,1902,24.03,1.15
B08CG4TBJF,43,43,0,1148.83,43,221,519,740,303,616,919,50.0,5.81
B08CHLBHFW,116,116,0,3393.88,112,502,1735,2237,688,2160,2848,88.06,5.19
B08CHLWWFS,83,83,0,2132.5,77,254,656,910,327,783,1110,55.77,9.12
B08CHMJBX6,11,11,0,272.0,11,147,408,555,218,489,707,12.09,1.98
B08CHN278L,162,162,1,3978.97,147,639,1452,2091,916,1806,2722,52.65,7.75
B08CNNXWHF,311,311,4,8562.06,278,549,1664,2213,736,2022,2758,77.91,14.05
B08CNP7NS1,369,369,3,9690.2,322,1431,4823,6254,1914,6244,8158,64.21,5.9
B08CP7GRV6,141,141,2,3364.97,128,410,1186,1596,576,1457,2033,50.89,8.83
B08CP98GGJ,505,505,3,12901.21,435,1085,2923,4008,1488,3679,5167,68.57,12.6
B08CY81R5Y,120,120,0,5212.8,116,3578,11446,15024,4914,14310,19224,24.37,0.8
B08CY8F4K1,162,162,5,6934.89,161,4427,14941,19368,5840,18939,24779,22.57,0.84
B08D3W9S6R,19,19,0,846.16,19,624,1691,2315,732,1885,2617,32.35,0.82
B08D3XLQJF,22,22,0,1071.59,22,633,1167,1800,767,1338,2105,32.98,1.22
B08D3XMDFX,147,147,1,6576.37,146,1223,2812,4035,1593,3544,5137,56.83,3.64
B08D3Y41RF,20,20,0,932.61,20,451,1387,1838,552,1704,2256,24.19,1.09
B08G1YSG7V,972,972,12,35773.94,909,2709,9072,11781,3554,12165,15719,49.09,8.25
B08G1YY8H7,931,931,15,34734.06,884,9615,19816,29431,12689,26444,39133,28.35,3.16
B08G1ZB4ZZ,268,268,3,10889.52,255,4633,11863,16496,6158,16134,22292,12.67,1.62
B08G1ZTJN3,80,80,2,3426.54,75,937,3196,4133,1273,4067,5340,32.86,1.94
B08G8WZT5H,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0
B08G8X3P92,9,9,1,388.77,9,541,1456,1997,703,1743,2446,21.98,0.45
B08G8Y9492,4,4,0,218.66,4,190,538,728,234,607,841,26.68,0.55
B08HN49CGB,146,146,1,5871.27,141,972,3118,4090,1291,3936,5227,30.67,3.57
B08HPD4N7D,172,172,1,7558.77,168,1607,4896,6503,2163,6202,8365,28.65,2.64
B08HPT1516,160,160,1,6543.18,158,2370,5695,8065,3038,7137,10175,23.34,1.98
B08HR63BDQ,9,9,0,356.04,9,1017,2618,3635,1270,3289,4559,2.57,0.25
B08J197RQ6,19,19,0,769.18,19,791,2913,3704,1056,3584,4640,13.34,0.51
B08JQK45C3,14,14,0,720.61,14,299,975,1274,355,1131,1486,46.16,1.1
B08JQK6H5N,30,30,0,1418.49,30,491,1449,1940,631,1689,2320,46.63,1.55
B08JQKJJC8,237,237,3,9105.82,227,2196,6089,8285,2892,7730,10622,25.26,2.86
B08JQL5L94,535,535,4,20424.69,528,1929,6987,8916,2599,9030,11629,54.21,6.0
