asin,date,units,revenue
B0036DUP6C,2024-09-04,2,101.77
B0036DUP6C,2024-09-05,2,108.23
B0036DUP6C,2024-09-06,3,151.2
B0036DUP6C,2024-09-07,1,49.72
B0036DUP6C,2024-09-08,2,92.04
B0036DUP6C,2024-09-09,3,129.42
B0036DUP6C,2024-09-10,4,172.6
B0036DUP6C,2024-09-11,2,86.28
B0036DUP6C,2024-09-12,2,84.11
B0036DUP6C,2024-09-13,5,204.4
B0036DUP6C,2024-09-14,4,156.2
B0036DUP6C,2024-09-15,1,38.94
B0036DUP6C,2024-09-16,2,78.01
B0036DUP6C,2024-09-17,3,117.51
B0036DUP6C,2024-09-18,3,117.65
B0036DUP6C,2024-09-19,1,38.94
B0036DUP6C,2024-09-20,4,155.78
B0036DUP6C,2024-09-21,1,38.95
B0036DUP6C,2024-09-22,3,116.81
B0036DUP6C,2024-10-14,1,41.6
B0036DUP6C,2024-10-17,1,41.75
B0036DUP6C,2025-01-16,1,47.5
B0036DUP6C,2025-01-31,1,47.5
B0036DUP6C,2025-02-04,1,47.5
B0036DUP6C,2025-02-06,3,142.11
B0036DUP6C,2025-02-07,2,94.84
B0036DUP6C,2025-02-08,3,142.34
B0036DUP6C,2025-02-09,1,47.5
B0036DUP6C,2025-02-10,1,47.5
B0036DUP6C,2025-02-11,1,43.49
B0036DUP6C,2025-02-14,1,41.95
B0036DUP6C,2025-02-15,3,125.85
B0036DUP6C,2025-02-16,1,42.35
B0036DUP6C,2025-02-17,7,293.65
B0036DUP6C,2025-02-18,2,83.9
B0036DUP6C,2025-02-19,3,125.85
B0036DUP6C,2025-02-20,1,41.95
B0036DUP6C,2025-02-21,3,125.85
B0036DUP6C,2025-02-22,2,83.9
B0036DUP6C,2025-02-23,3,125.85
B0036DUP6C,2025-02-24,3,125.85
B0036DUP6C,2025-02-25,5,209.74
B0036DUP6C,2025-02-27,2,83.9
B0036DUP6C,2025-02-28,2,81.16
B0036DUP6C,2025-03-01,1,40.99
B0036DUP6C,2025-03-02,1,40.99
B0036DUP6C,2025-03-03,3,122.97
B0036DUP6C,2025-03-04,2,81.98
B0036DUP6C,2025-03-05,2,81.98
B0036DUP6C,2025-03-06,1,40.95
B0036DUP6C,2025-03-08,1,38.34
B0036DUP6C,2025-03-09,3,115.5
B0036DUP6C,2025-03-10,6,231.0
B0036DUP6C,2025-03-11,4,154.0
B0036DUP6C,2025-03-12,5,184.95
B0036DUP6C,2025-03-13,5,185.83
B0036DUP6C,2025-03-14,6,222.0
B0036DUP6C,2025-03-15,3,111.0
B0036DUP6C,2025-03-16,2,74.0
B0036DUP6C,2025-03-17,2,74.0
B0036DUP6C,2025-03-19,2,74.0
B0036DUP6C,2025-03-21,3,111.0
B0036DUP6C,2025-03-22,2,74.0
B0036DUP6C,2025-03-23,3,111.0
B0036DUP6C,2025-03-24,5,185.0
B0036DUP6C,2025-03-25,2,74.0
B0036DUP6C,2025-03-26,3,111.0
B0036DUP6C,2025-03-27,5,182.83
B0036DUP6C,2025-03-28,3,108.87
B0036DUP6C,2025-03-29,1,37.0
B0036DUP6C,2025-03-31,5,185.0
B0036DUP6C,2025-04-01,2,76.99
B0036DUP6C,2025-04-04,1,37.0
B0036DUP6C,2025-04-06,1,37.11
B0036DUP6C,2025-04-24,1,36.83
B0036DUP6C,2025-04-26,1,39.99
B0036DUP6C,2025-05-02,1,35.6
B0036DUP6C,2025-05-05,1,32.75
B0036DUP6C,2025-05-08,2,65.06
B0036DUP6C,2025-05-09,3,97.59
B0036DUP6C,2025-05-10,2,65.06
B0036DUP6C,2025-05-11,2,64.96
B0036DUP6C,2025-05-12,4,129.92
B0036DUP6C,2025-05-13,3,97.26
B0036DUP6C,2025-05-14,1,32.41
B0036DUP6C,2025-05-15,6,193.61
B0036DUP6C,2025-05-16,3,96.56
B0036DUP6C,2025-05-17,5,167.69
B0036DUP6C,2025-05-18,6,191.25
B0036DUP6C,2025-05-19,3,95.26
B0036DUP6C,2025-05-20,4,135.72
B0036DUP6C,2025-05-21,2,71.78
B0036DUP6C,2025-05-22,2,63.58
B0036DUP6C,2025-05-23,1,31.77
B0036DUP6C,2025-05-26,2,71.98
B0036DUP6C,2025-05-30,1,33.99
B0036DUP6C,2025-05-31,1,39.99
B0036DUP6C,2025-06-02,2,63.98
B0036DUP6C,2025-06-03,2,32.04
B0036DUP6C,2025-06-04,1,33.92
B0036DUP6C,2025-06-06,1,33.86
B0036DUP6C,2025-06-08,3,97.66
B0036DUP6C,2025-06-11,1,33.87
B0036DUP6C,2025-06-14,3,101.61
B0036DUP6C,2025-06-18,2,63.55
B0036DUP6C,2025-06-20,1,39.99
B0036DUP6C,2025-06-22,5,167.59
B0036DUP6C,2025-06-23,6,199.96
B0036DUP6C,2025-06-24,2,65.41
B0036DUP6C,2025-06-25,6,199.57
B0036DUP6C,2025-06-26,2,66.43
B0036DUP6C,2025-06-27,1,32.76
B0036DUP6C,2025-06-28,2,65.46
B0036DUP6C,2025-06-29,5,164.39
B0036DUP6C,2025-06-30,3,98.72
B0036DUP6C,2025-07-02,1,32.87
B0036DUP6C,2025-07-05,1,39.99
B0036DUP6C,2025-07-07,1,32.93
B0036DUP6C,2025-07-08,3,105.75
B0036DUP6C,2025-07-10,1,39.99
B0036DUP6C,2025-07-12,4,131.65
B0036DUP6C,2025-07-13,3,100.61
B0036DUP6C,2025-07-14,1,32.94
B0036DUP6C,2025-07-15,1,32.91
B0036DUP6C,2025-07-16,3,96.62
B0036DUP6C,2025-07-17,2,65.59
B0036DUP6C,2025-07-21,1,32.16
B0036DUP6C,2025-07-30,2,65.22
B0036DUP6C,2025-07-31,1,31.67
B0036DUP6C,2025-08-01,2,65.86
B0036DUP6C,2025-08-02,1,32.09
B0036DUP6C,2025-08-03,2,63.34
B0036DUP6C,2025-08-06,1,32.75
B0036DUP6C,2025-08-16,1,618.48
B0036DUP6C,2025-08-25,4,128.52
B0036DUP6C,2025-08-26,1,32.13
B0036DUP6C,2025-08-27,1,32.04
B0036DUP6C,2025-08-28,3,96.12
B0036DUP6C,2025-08-30,1,32.04
B0036DUP6C,2025-08-31,3,97.59
B0036DUP6C,2025-09-01,3,97.59
B0036DUP6C,2025-09-02,1,32.53
B0036DUP6C,2025-09-03,1,39.99
B0036DUP6C,2025-09-04,5,163.0
B0036DUP6C,2025-09-05,1,32.09
B0036DUP6C,2025-09-06,1,31.67
B0036DUP6C,2025-09-07,2,64.0
B0036DUP6C,2025-09-08,2,64.0
B0036DUP6C,2025-09-09,3,982.87
B0036DUP6C,2025-09-11,1,32.16
B0036DUP6C,2025-09-12,1,32.36
B0036DUP6C,2025-09-13,1,31.67
B0036DUP6C,2025-09-28,1,32.5
B0036DUP6C,2025-09-30,1,32.39
B0036DUP6C,2025-10-12,1,32.5
B0036DUP6C,2025-10-26,2,62.84
B0036DUP6C,2025-10-27,3,95.58
B0036DUP6C,2025-10-30,5,157.96
B0036DUP6C,2025-10-31,2,63.51
B0036DUP6C,2025-11-01,4,130.68
B0036DUP6C,2025-11-05,4,129.4
B0036DUP6C,2025-11-06,3,98.25
B0036DUP6C,2025-11-07,4,131.7
B0036DUP6C,2025-11-08,4,131.76
B0036DUP6C,2025-11-09,6,197.66
B0036DUP6C,2025-11-10,4,98.82
B0036DUP6C,2025-11-11,2,65.88
B0036DUP6C,2025-11-12,8,258.47
B0036DUP6C,2025-11-13,3,98.28
B0036DUP6C,2025-11-14,4,131.76
B0036DUP6C,2025-11-15,7,230.58
B0036DUP6C,2025-11-16,3,98.82
B0036DUP6C,2025-11-17,5,165.49
B0036DUP6C,2025-11-18,8,263.53
B0036DUP6C,2025-11-19,4,131.76
B0036DUP6C,2025-11-20,8,263.54
B0036DUP6C,2025-11-21,4,131.74
B0036DUP6C,2025-11-22,2,65.84
B0036DUP6C,2025-11-23,6,199.35
B0036DUP6C,2025-11-24,5,167.59
B0036DUP6C,2025-11-25,1,39.99
B0036DUP6C,2025-11-26,1,32.79
B0036DUP6C,2025-11-27,1,39.99
B0036DUP6C,2025-11-28,3,119.97
B0036DUP6C,2025-12-01,1,39.99
B0036DUP6C,2025-12-04,2,63.98
B0036DUP6C,2025-12-09,1,32.79
B0036DUP6C,2025-12-10,1,32.79
B0036DUP6C,2025-12-12,1,33.97
B0036DUP6C,2025-12-13,1,39.99
B0036DUP6C,2025-12-17,2,65.59
B0036DUP6C,2025-12-25,1,32.79
B0036DUP6C,2026-01-24,1,32.79
B0036DUP6C,2026-02-12,1,32.79
B0036DUP6C,2026-02-24,1,32.79
B0036DUP6C,2026-03-03,1,32.79
B0036DYUV8,2024-09-03,1,53.08
B0036DYUV8,2024-09-07,1,37.98
B0036DYUV8,2024-09-08,2,76.7
B0036DYUV8,2024-09-09,1,38.16
B0036DYUV8,2024-09-10,3,115.0
B0036DYUV8,2024-09-11,4,152.12
B0036DYUV8,2024-09-15,4,152.1
B0036DYUV8,2024-09-16,3,114.06
B0036DYUV8,2024-09-17,1,38.02
B0036DYUV8,2024-09-18,1,37.02
B0036DYUV8,2024-09-20,2,72.54
B0036DYUV8,2024-09-21,4,142.11
B0036DYUV8,2024-09-22,3,107.83
B0036DYUV8,2024-09-23,1,34.99
B0036DYUV8,2024-09-24,1,35.03
B0036DYUV8,2024-09-26,3,105.68
B0036DYUV8,2024-09-28,4,140.79
B0036DYUV8,2024-09-29,4,141.3
B0036DYUV8,2024-09-30,1,35.06
B0036DYUV8,2024-10-01,3,103.94
B0036DYUV8,2024-10-02,2,68.06
B0036DYUV8,2024-10-03,2,68.63
