model,total_mae,total_rmse,total_bias,wape,our_sum,actual_sum
LSTM_h30,35.86815336162379,67.9981422921495,-11.648498769305117,0.3765638550752622,17640.16675967662,20098
Ensemble_h30,41.380392974153345,111.94105154474624,-11.644699502880721,0.4344344172328767,17640.968404892166,20098
PatchTST_h30,42.31881926990597,89.53836125133397,-31.555325092014883,0.44428653925515776,13439.82640558486,20098
NHITS_h30,43.960612861052184,120.326222517267,-9.398730398264588,0.46152300296954973,18114.86788596617,20098
SeasonalNaive_h30,44.872037914691944,127.73498928700647,-21.658767772511847,0.47109165091053834,15528.0,20098
MA7_h30,44.88557887610021,118.18547114803341,-24.26269465132024,0.47123381146667054,14978.57142857143,20098
CES_h30,48.379256032628255,103.25328335112141,-38.508107326341346,0.5079123804798766,11972.789354141976,20098
NGBoost_h30,58.59761620845092,232.35308577210319,4.787789183360331,0.6151904179511963,21108.223517689024,20098
LightGBM_h30,58.83443514549058,171.9748153031406,8.19494799638789,0.617676675077048,21827.134027237844,20098
XGBoost_h30,64.46028867568732,271.2927198847976,-3.3849720430176404,0.6767400194332782,19383.770898923278,20098
Team_30d,70.79156398104266,147.97875302849155,-64.65004739336493,0.7432092745546821,6456.84,20098
